Network,Class,Degree
200,Syndiniales,3
200,Syndiniales,3
200,Syndiniales,3
200,Syndiniales,4
200,Syndiniales,2
200,Syndiniales,2
200,Syndiniales,8
200,Syndiniales,5
200,Syndiniales,4
200,Syndiniales,4
200,Syndiniales,5
200,Syndiniales,1
200,Syndiniales,4
250,Syndiniales,10
250,Syndiniales,7
250,Syndiniales,7
250,Syndiniales,3
250,Syndiniales,9
250,Syndiniales,5
250,Syndiniales,3
250,Syndiniales,3
250,Syndiniales,3
250,Syndiniales,4
250,Syndiniales,5
250,Syndiniales,7
250,Syndiniales,2
250,Syndiniales,2
250,Syndiniales,8
250,Syndiniales,9
250,Syndiniales,8
250,Syndiniales,3
250,Syndiniales,2
250,Syndiniales,9
250,Syndiniales,9
250,Syndiniales,3
250,Syndiniales,5
250,Syndiniales,2
250,Syndiniales,4
250,Syndiniales,3
250,Syndiniales,4
250,Syndiniales,3
250,Syndiniales,7
250,Syndiniales,7
250,Syndiniales,5
250,Syndiniales,4
250,Syndiniales,2
250,Syndiniales,4
250,Syndiniales,4
250,Syndiniales,2
250,Syndiniales,3
250,Syndiniales,5
250,Syndiniales,10
250,Syndiniales,6
250,Syndiniales,6
250,Syndiniales,1
300,Syndiniales,1
300,Syndiniales,4
300,Syndiniales,3
300,Syndiniales,6
300,Syndiniales,1
300,Syndiniales,6
300,Syndiniales,4
300,Syndiniales,4
300,Syndiniales,4
300,Syndiniales,8
300,Syndiniales,3
300,Syndiniales,2
300,Syndiniales,1
300,Syndiniales,2
300,Syndiniales,3
300,Syndiniales,1
300,Syndiniales,4
300,Syndiniales,1
300,Syndiniales,3
300,Syndiniales,3
300,Syndiniales,4
300,Syndiniales,5
300,Syndiniales,3
300,Syndiniales,4
300,Syndiniales,12
300,Syndiniales,6
300,Syndiniales,10
300,Syndiniales,4
300,Syndiniales,7
300,Syndiniales,1
300,Syndiniales,2
300,Syndiniales,2
300,Syndiniales,7
300,Syndiniales,6
300,Syndiniales,2
300,Syndiniales,2
300,Syndiniales,1
300,Syndiniales,3
300,Syndiniales,8
300,Syndiniales,4
500,Syndiniales,5
500,Syndiniales,5
500,Syndiniales,8
500,Syndiniales,9
500,Syndiniales,1
500,Syndiniales,3
500,Syndiniales,3
500,Syndiniales,2
500,Syndiniales,2
500,Syndiniales,3
500,Syndiniales,5
500,Syndiniales,6
500,Syndiniales,3
500,Syndiniales,2
500,Syndiniales,4
500,Syndiniales,4
500,Syndiniales,4
500,Syndiniales,6
500,Syndiniales,7
500,Syndiniales,2
500,Syndiniales,4
500,Syndiniales,2
500,Syndiniales,3
500,Syndiniales,6
500,Syndiniales,4
500,Syndiniales,2
500,Syndiniales,7
500,Syndiniales,1
500,Syndiniales,4
500,Syndiniales,6
500,Syndiniales,5
500,Syndiniales,5
500,Syndiniales,5
500,Syndiniales,4
500,Syndiniales,4
500,Syndiniales,2
500,Syndiniales,2
500,Syndiniales,3
500,Syndiniales,5
500,Syndiniales,3
500,Syndiniales,6
500,Syndiniales,1
500,Syndiniales,7
500,Syndiniales,6
500,Syndiniales,2
500,Syndiniales,3
500,Syndiniales,5
500,Syndiniales,3
600,Syndiniales,4
600,Syndiniales,7
600,Syndiniales,4
600,Syndiniales,5
600,Syndiniales,3
600,Syndiniales,6
600,Syndiniales,6
600,Syndiniales,5
600,Syndiniales,3
600,Syndiniales,6
600,Syndiniales,5
600,Syndiniales,7
600,Syndiniales,5
600,Syndiniales,1
600,Syndiniales,6
600,Syndiniales,10
600,Syndiniales,6
600,Syndiniales,5
600,Syndiniales,5
600,Syndiniales,7
600,Syndiniales,1
600,Syndiniales,7
600,Syndiniales,1
600,Syndiniales,8
600,Syndiniales,5
600,Syndiniales,2
600,Syndiniales,7
600,Syndiniales,3
600,Syndiniales,8
600,Syndiniales,2
600,Syndiniales,4
600,Syndiniales,3
600,Syndiniales,2
600,Syndiniales,1
600,Syndiniales,1
600,Syndiniales,7
600,Syndiniales,3
600,Syndiniales,2
600,Syndiniales,4
600,Syndiniales,1
600,Syndiniales,3
600,Syndiniales,5
600,Syndiniales,5
600,Syndiniales,5
800,Syndiniales,9
800,Syndiniales,3
800,Syndiniales,5
800,Syndiniales,5
800,Syndiniales,4
800,Syndiniales,2
800,Syndiniales,6
800,Syndiniales,5
800,Syndiniales,4
800,Syndiniales,2
800,Syndiniales,4
800,Syndiniales,8
800,Syndiniales,4
800,Syndiniales,3
800,Syndiniales,12
800,Syndiniales,5
800,Syndiniales,5
800,Syndiniales,7
800,Syndiniales,3
800,Syndiniales,1
800,Syndiniales,4
800,Syndiniales,4
800,Syndiniales,4
800,Syndiniales,7
800,Syndiniales,2
800,Syndiniales,3
800,Syndiniales,1
800,Syndiniales,7
800,Syndiniales,6
800,Syndiniales,3
800,Syndiniales,9
800,Syndiniales,4
800,Syndiniales,1
800,Syndiniales,2
800,Syndiniales,4
800,Syndiniales,6
800,Syndiniales,8
800,Syndiniales,3
800,Syndiniales,5
800,Syndiniales,4
800,Syndiniales,5
800,Syndiniales,10
800,Syndiniales,2
800,Syndiniales,6
800,Syndiniales,3
800,Syndiniales,8
800,Syndiniales,6
1000,Syndiniales,4
1000,Syndiniales,3
1000,Syndiniales,3
1000,Syndiniales,2
1000,Syndiniales,4
1000,Syndiniales,4
1000,Syndiniales,1
1000,Syndiniales,2
1000,Syndiniales,1
1000,Syndiniales,7
1000,Syndiniales,3
1000,Syndiniales,5
1000,Syndiniales,5
1000,Syndiniales,3
1000,Syndiniales,5
1000,Syndiniales,3
1000,Syndiniales,2
1000,Syndiniales,1
1000,Syndiniales,2
1000,Syndiniales,1
1000,Syndiniales,3
1000,Syndiniales,4
1000,Syndiniales,7
1000,Syndiniales,8
1000,Syndiniales,4
1000,Syndiniales,3
1000,Syndiniales,4
1000,Syndiniales,3
1000,Syndiniales,2
1000,Syndiniales,2
1000,Syndiniales,6
1000,Syndiniales,3
1000,Syndiniales,3
1000,Syndiniales,4
1000,Syndiniales,3
1000,Syndiniales,5
1000,Syndiniales,6
1000,Syndiniales,4
1000,Syndiniales,3
1000,Syndiniales,4
1000,Syndiniales,3
1000,Syndiniales,1
1000,Syndiniales,4
1000,Syndiniales,1
1000,Syndiniales,3
1000,Syndiniales,4
1000,Syndiniales,5
1000,Syndiniales,5
1000,Syndiniales,4
1000,Syndiniales,5
1000,Syndiniales,1
1000,Syndiniales,3
1000,Syndiniales,2
1000,Syndiniales,4
1000,Syndiniales,2
1000,Syndiniales,8
1000,Syndiniales,8
